,Job Profile,Company,ExperienceRequired,AvgSalary,MinSalary,MaxSalary
0,System Engineer,tcs,0-10,"5,94,125",2.0,11.2
1,IT Analyst,tcs,3-11,"9,05,500",3.4,20.5
2,AST Consultant,tcs,6-15,"14,59,521",4.0,29.8
3,Assistant System Engineer,tcs,0-4,"3,95,563",2.5,5.9
4,Associate Consultant,tcs,4-21,"18,13,704",3.8,34.2
5,Senior Process Associate,tcs,0-11,"4,40,285",1.4,7.9
6,Software Engineer,tcs,0-8,"6,31,603",2.0,14.5
7,Process Associate,tcs,0-9,"3,18,501",1.0,5.5
8,Software Developer,tcs,0-9,"6,56,037",1.9,14.9
9,System Engineer Hardware,tcs,0-6,"6,75,504",2.5,12.5
10,Application Development Analyst,accenture,0-6,"8,17,107",3.0,15.5
11,Application Development - Senior Analyst,accenture,2-9,"12,32,730",3.5,19.9
12,Senior Software Engineer,accenture,2-10,"12,37,733",2.6,28.0
13,Team Lead,accenture,4-14,"14,81,563",,
14,Software Engineer,accenture,0-6,"6,83,481",2.7,16.5
15,Transaction Processing Associate,accenture,0-8,"3,76,627",,
16,Senior Analyst,accenture,1-12,"10,95,852",,
17,Associate Software Engineer,accenture,0-4,"4,88,765",1.0,8.2
18,Application Development Team Lead,accenture,4-12,"17,88,527",6.1,27.5
19,Application Development Associate,accenture,0-3,"4,68,775",2.6,8.0
20,Programmer Analyst,cognizant,0-6,"5,70,821",2.5,9.7
21,Senior Associate,cognizant,3-15,"15,10,127",2.1,30.2
22,Senior Processing Executive,cognizant,0-8,"4,05,068",,
23,Project Associate,cognizant,1-8,"10,93,483",1.0,22.0
24,Technical Lead,cognizant,1-15,"12,87,353",3.5,30.0
25,Processing Executive,cognizant,0-3,"2,62,336",,
26,Software Engineer,cognizant,0-7,"8,13,561",1.7,21.0
27,Senior Systems Engineer,cognizant,0-8,"5,62,229",1.0,11.0
28,Programmer Analyst Trainee,cognizant,0-1,"4,14,426",2.5,7.0
29,Project Manager,cognizant,8-20,"23,02,177",8.7,36.0
30,Project Engineer,wipro,0-7,"5,66,426",1.1,11.1
31,Senior Project Engineer,wipro,1-10,"10,16,834",3.2,27.0
32,Senior Software Engineer,wipro,2-10,"11,96,016",,
33,Senior Associate,wipro,0-8,"3,22,379",,
34,Technical Lead,wipro,4-16,"17,76,351",4.4,33.0
35,Software Engineer,wipro,0-6,"6,62,508",1.7,23.0
36,Associate Consultant,wipro,0-12,"11,55,938",1.7,33.4
37,Senior Test Engineer,wipro,3-11,"10,87,209",2.3,24.6
38,Senior Administrator,wipro,3-12,"9,47,103",2.0,24.8
39,Software Developer,wipro,0-7,"7,23,660",1.8,21.0
40,Deputy Manager,icici-bank,0-15,"5,68,297",2.2,10.2
41,Relationship Manager,icici-bank,0-17,"6,98,709",,
42,Senior Officer,icici-bank,0-8,"2,91,841",1.3,6.0
43,Deputy Branch Manager,icici-bank,1-15,"6,52,385",1.5,14.0
44,Branch Manager,icici-bank,3-21,"10,83,915",3.2,26.0
45,Sales Officer,icici-bank,0-8,"2,55,504",,
46,Credit Manager,icici-bank,0-9,"8,76,623",,
47,Phone Banking Officer,icici-bank,0-7,"2,95,272",,
48,Customer Service Officer,icici-bank,0-7,"2,95,581",1.2,5.0
49,Sales Executive,icici-bank,0-8,"2,43,448",,
50,Deputy Manager,hdfc-bank,0-13,"5,46,714",2.0,10.0
51,Sales Officer,hdfc-bank,0-10,"2,50,857",,
52,Relationship Manager,hdfc-bank,0-15,"6,61,811",1.4,18.9
53,Sales Executive,hdfc-bank,0-8,"2,39,960",,
54,Sales Manager,hdfc-bank,0-16,"6,87,078",1.0,13.0
55,Personal Banker,hdfc-bank,0-10,"4,78,094",,
56,Branch Manager,hdfc-bank,5-22,"13,31,116",3.5,33.0
57,Credit Manager,hdfc-bank,0-12,"7,69,287",1.0,20.0
58,Branch Sales Officer,hdfc-bank,0-7,"2,52,629",,
59,DPT.Manager,hdfc-bank,1-12,"5,12,455",2.5,7.5
60,Technology Analyst,infosys,1-9,"7,08,817",3.2,16.0
61,Senior Systems Engineer,infosys,0-6,"4,82,658",2.5,8.1
62,System Engineer,infosys,0-4,"3,92,443",2.4,5.6
63,Tech Lead,infosys,3-15,"12,09,965",5.6,25.0
64,Senior Associate Consultant,infosys,1-9,"10,55,970",4.0,18.5
65,Test Analyst,infosys,1-9,"7,18,535",1.8,15.0
66,Associate Consultant,infosys,0-6,"9,16,702",3.0,15.0
67,Test Engineer,infosys,0-6,"4,56,033",2.4,7.7
68,Senior Consultant,infosys,4-17,"17,47,317",7.0,29.1
69,System Engineer Hardware,infosys,0-4,"3,91,668",2.8,5.7
70,Associate Consultant,capgemini,0-7,"6,37,619",2.5,11.9
