,Job Profile,Company,AvgSalary,MinSalary,MaxSalary,MinExperience,MaxExperience
0,System Engineer,tcs,594125,2.0,11.2,0.0,10.0
1,IT Analyst,tcs,905500,3.4,20.5,3.0,11.0
2,AST Consultant,tcs,1459521,4.0,29.8,6.0,15.0
3,Assistant System Engineer,tcs,395563,2.5,5.9,0.0,4.0
4,Associate Consultant,tcs,1813704,3.8,34.2,4.0,21.0
5,Senior Process Associate,tcs,440285,1.4,7.9,0.0,11.0
6,Software Engineer,tcs,631603,2.0,14.5,0.0,8.0
7,Process Associate,tcs,318501,1.0,5.5,0.0,9.0
8,Software Developer,tcs,656037,1.9,14.9,0.0,9.0
9,System Engineer Hardware,tcs,675504,2.5,12.5,0.0,6.0
10,Application Development Analyst,accenture,817107,3.0,15.5,0.0,6.0
11,Application Development - Senior Analyst,accenture,1232730,3.5,19.9,2.0,9.0
12,Senior Software Engineer,accenture,1237733,2.6,28.0,2.0,10.0
13,Team Lead,accenture,1481563,3.3070448732852826,12.01799581492676,4.0,14.0
14,Software Engineer,accenture,683481,2.7,16.5,0.0,6.0
15,Transaction Processing Associate,accenture,376627,3.3070448732852826,12.01799581492676,0.0,8.0
16,Senior Analyst,accenture,1095852,3.3070448732852826,12.01799581492676,1.0,12.0
17,Associate Software Engineer,accenture,488765,1.0,8.2,0.0,4.0
18,Application Development Team Lead,accenture,1788527,6.1,27.5,4.0,12.0
19,Application Development Associate,accenture,468775,2.6,8.0,0.0,3.0
20,Programmer Analyst,cognizant,570821,2.5,9.7,0.0,6.0
21,Senior Associate,cognizant,1510127,2.1,30.2,3.0,15.0
22,Senior Processing Executive,cognizant,405068,3.3070448732852826,12.01799581492676,0.0,8.0
23,Project Associate,cognizant,1093483,1.0,22.0,1.0,8.0
24,Technical Lead,cognizant,1287353,3.5,30.0,1.0,15.0
25,Processing Executive,cognizant,262336,3.3070448732852826,12.01799581492676,0.0,3.0
26,Software Engineer,cognizant,813561,1.7,21.0,0.0,7.0
27,Senior Systems Engineer,cognizant,562229,1.0,11.0,0.0,8.0
28,Programmer Analyst Trainee,cognizant,414426,2.5,7.0,0.0,1.0
29,Project Manager,cognizant,2302177,8.7,36.0,8.0,20.0
30,Project Engineer,wipro,566426,1.1,11.1,0.0,7.0
31,Senior Project Engineer,wipro,1016834,3.2,27.0,1.0,10.0
32,Senior Software Engineer,wipro,1196016,3.3070448732852826,12.01799581492676,2.0,10.0
33,Senior Associate,wipro,322379,3.3070448732852826,12.01799581492676,0.0,8.0
34,Technical Lead,wipro,1776351,4.4,33.0,4.0,16.0
35,Software Engineer,wipro,662508,1.7,23.0,0.0,6.0
36,Associate Consultant,wipro,1155938,1.7,33.4,0.0,12.0
37,Senior Test Engineer,wipro,1087209,2.3,24.6,3.0,11.0
38,Senior Administrator,wipro,947103,2.0,24.8,3.0,12.0
39,Software Developer,wipro,723660,1.8,21.0,0.0,7.0
40,Deputy Manager,icici-bank,568297,2.2,10.2,0.0,15.0
41,Relationship Manager,icici-bank,698709,3.3070448732852826,12.01799581492676,0.0,17.0
42,Senior Officer,icici-bank,291841,1.3,6.0,0.0,8.0
43,Deputy Branch Manager,icici-bank,652385,1.5,14.0,1.0,15.0
44,Branch Manager,icici-bank,1083915,3.2,26.0,3.0,21.0
45,Sales Officer,icici-bank,255504,3.3070448732852826,12.01799581492676,0.0,8.0
46,Credit Manager,icici-bank,876623,3.3070448732852826,12.01799581492676,0.0,9.0
47,Phone Banking Officer,icici-bank,295272,3.3070448732852826,12.01799581492676,0.0,7.0
48,Customer Service Officer,icici-bank,295581,1.2,5.0,0.0,7.0
49,Sales Executive,icici-bank,243448,3.3070448732852826,12.01799581492676,0.0,8.0
50,Deputy Manager,hdfc-bank,546714,2.0,10.0,0.0,13.0
51,Sales Officer,hdfc-bank,250857,3.3070448732852826,12.01799581492676,0.0,10.0
52,Relationship Manager,hdfc-bank,661811,1.4,18.9,0.0,15.0
53,Sales Executive,hdfc-bank,239960,3.3070448732852826,12.01799581492676,0.0,8.0
54,Sales Manager,hdfc-bank,687078,1.0,13.0,0.0,16.0
55,Personal Banker,hdfc-bank,478094,3.3070448732852826,12.01799581492676,0.0,10.0
56,Branch Manager,hdfc-bank,1331116,3.5,33.0,5.0,22.0
57,Credit Manager,hdfc-bank,769287,1.0,20.0,0.0,12.0
58,Branch Sales Officer,hdfc-bank,252629,3.3070448732852826,12.01799581492676,0.0,7.0
59,DPT.Manager,hdfc-bank,512455,2.5,7.5,1.0,12.0
60,Technology Analyst,infosys,708817,3.2,16.0,1.0,9.0
61,Senior Systems Engineer,infosys,482658,2.5,8.1,0.0,6.0
62,System Engineer,infosys,392443,2.4,5.6,0.0,4.0
63,Tech Lead,infosys,1209965,5.6,25.0,3.0,15.0
64,Senior Associate Consultant,infosys,1055970,4.0,18.5,1.0,9.0
65,Test Analyst,infosys,718535,1.8,15.0,1.0,9.0
66,Associate Consultant,infosys,916702,3.0,15.0,0.0,6.0
67,Test Engineer,infosys,456033,2.4,7.7,0.0,6.0
68,Senior Consultant,infosys,1747317,7.0,29.1,4.0,17.0
69,System Engineer Hardware,infosys,391668,2.8,5.7,0.0,4.0
70,Associate Consultant,capgemini,637619,2.5,11.9,0.0,7.0
71,Senior Consultant,capgemini,1456736,2.4,27.5,2.0,14.0
72,Senior Software Engineer,capgemini,920029,1.8,16.0,0.0,11.0
73,Senior Analyst,capgemini,488532,1.0,8.6,0.0,5.0
74,Software Engineer,capgemini,559760,1.7,10.6,0.0,7.0
75,Process Associate,capgemini,326521,1.3,6.5,0.0,7.0
76,Senior Associate,capgemini,436176,1.3,9.5,0.0,10.0
77,Process Leader,capgemini,632038,2.0,12.0,1.0,13.0
78,Analyst,capgemini,402950,3.3070448732852826,12.01799581492676,0.0,3.0
79,Software Developer,capgemini,742595,2.0,18.5,0.0,7.0
80,Software Engineer,tech-mahindra,654510,1.7,15.5,0.0,8.0
81,Senior Software Engineer,tech-mahindra,1164536,3.3070448732852826,12.01799581492676,2.0,11.0
82,Technical Lead,tech-mahindra,1797590,4.4,34.0,5.0,16.0
83,Software Developer,tech-mahindra,728773,2.0,20.0,1.0,7.0
84,Associate Software Engineer,tech-mahindra,449751,1.7,9.6,0.0,6.0
85,Softwaretest Engineer,tech-mahindra,553291,1.8,12.0,1.0,6.0
86,Team Lead,tech-mahindra,983362,3.3070448732852826,12.01799581492676,1.0,16.0
87,Customer Service Associate,tech-mahindra,258081,3.3070448732852826,12.01799581492676,0.0,9.0
88,Customer Care Executive,tech-mahindra,248876,3.3070448732852826,12.01799581492676,0.0,8.0
89,Devops Engineer,tech-mahindra,714189,1.2,17.0,1.0,7.0
90,Process Developer,genpact,405410,3.3070448732852826,12.01799581492676,0.0,9.0
91,Process Associate,genpact,314026,3.3070448732852826,12.01799581492676,0.0,6.0
92,Management Trainee,genpact,575407,1.7,9.1,0.0,13.0
93,Senior Process Associate,genpact,321092,1.2,7.5,1.0,8.0
94,Business Analyst,genpact,715534,2.5,15.0,0.0,11.0
95,Senior Associate,genpact,458705,1.4,9.0,0.0,7.0
96,Lead Consultant,genpact,1720564,5.2,31.0,3.0,13.0
97,Operations Manager,genpact,1136896,4.8,18.0,8.0,18.0
98,Technical Associate,genpact,479893,1.5,8.4,0.0,8.0
99,Assistant Vice President,genpact,3289153,13.0,53.0,10.0,22.0
100,Deputy Manager,hcltech,554489,2.3,10.3,0.0,12.0
101,Sales Officer,hcltech,248975,1.1,4.3,0.0,8.0
102,Relationship Officer,hcltech,249834,3.3070448732852826,12.01799581492676,0.0,9.0
103,Sales Manager,hcltech,674547,1.1,15.5,0.0,16.0
104,Assistant Vice President,hcltech,2293521,6.5,43.0,6.0,24.0
